"SR. NO
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
Long Term,,,,
75,RMDRIP,R M Drip and Sprinklers Systems Limited,INE219Y01018,"LTASM - I (13)
"
76,ROLLT,Rollatainers Limited,INE927A01040,"LTASM - I (13)
"
77,ROSSELLIND,Rossell India Limited,INE847C01020,"LTASM - I (13)
"
78,RPPINFRA,R.P.P. Infra Projects Limited,INE324L01013,"LTASM - I (13)
"
79,SECURCRED,SecUR Credentials Limited,INE195Y01010,"LTASM - I (13)
"
80,SETCO,Setco Automotive Limited,INE878E01021,"LTASM - I (13)
"
81,SIMBHALS,Simbhaoli Sugars Limited,INE748T01016,"LTASM - I (13)
"
82,SITINET,Siti Networks Limited,INE965H01011,"LTASM - I (13)
"
83,SKMEGGPROD,SKM Egg Products Export (India) Limited,INE411D01015,"LTASM - I (13)
"
84,SOUTHBANK,The South Indian Bank Limited,INE683A01023,"LTASM - I (13)
"
85,SPCENET,Spacenet Enterprises India Limited,INE970N01027,"LTASM - IV (16)
"
86,SUPREMEINF,Supreme Infrastructure India Limited,INE550H01011,"LTASM - I (13)
"
87,SVPGLOB,SVP GLOBAL TEXTILES LIMITED,INE308E01029,"LTASM - I (13)
"
88,TAPIFRUIT,Tapi Fruit Processing Limited,INE0M7001010,"LTASM - I (13)
"
89,TCPLPACK,TCPL Packaging Limited,INE822C01015,"LTASM - I (13)
"
90,TGBHOTELS,TGB Banquets And Hotels Limited,INE797H01018,"LTASM - I (13)
"
91,TIMESGTY,Times Guaranty Limited,INE289C01025,"LTASM - I (13)
"
92,UJJIVAN,Ujjivan Financial Services Limited,INE334L01012,"LTASM - I (13)
"
93,URAVI,Uravi T and Wedge Lamps Limited,INE568Z01015,"LTASM - I (13)
"
94,USASEEDS,Upsurge Seeds Of Agriculture Limited,INE0CBM01019,"LTASM - I (13)
"
95,VASA,Vasa Retail and Overseas Ltd,INE068Z01016,"LTASM - I (13)
"
96,WALCHANNAG,Walchandnagar Industries Limited,INE711A01022,"LTASM - I (13)
"
97,WEL,Wonder Electricals Limited,INE02WG01016,"LTASM - I (13)
"
98,WELINV,Welspun Investments and Commercials Limited,INE389K01018,"LTASM - I (13)
"
99,ZIMLAB,Zim Laboratories Limited,INE518E01015,"LTASM - I (13)
"
Short Term,,,,
1,3PLAND,3P Land Holdings Limited,INE105C01023,"STASM - II (12)
"
2,AAKASH,Aakash Exploration Services Limited,INE087Z01024,"STASM - I (11)
"
3,ADANIENT,Adani Enterprises Limited,INE423A01024,"STASM - I (11)
"
4,AKASH,Akash Infra Projects Limited,INE737W01013,"STASM - I (11)
"
5,AKASH,Akash Infra-Projects Limited,INE737W01013,"STASM - I (11)
"
6,BFINVEST,BF Investment Limited,INE878K01010,"STASM - I (11)
"
7,BLBLIMITED,BLB Limited,INE791A01024,"STASM - II (12)
"
8,DBSTOCKBRO,DB (International) Stock Brokers Limited,INE921B01025,"STASM - I (11)
"
9,DLINKINDIA,D-Link (India) Limited,INE250K01012,"STASM - I (11)
"
10,DSSL,Dynacons Systems & Solutions Limited,INE417B01040,"STASM - I (11)
"
11,GEEKAYWIRE,Geekay Wires Limited,INE669X01016,"STASM - I (11)
"
12,HILTON,Hilton Metal Forging Limited,INE788H01017,"STASM - I (11)
"
13,HUBTOWN,Hubtown Limited,INE703H01016,"STASM - I (11)
"
14,IEL,Indiabulls Enterprises Limited,INE059901020,"STASM - I (11)
"
15,JETFREIGHT,Jet Freight Logistics Limited,INE982V01025,"STASM - I (11)
"
16,MANAKSTEEL,Manaksia Steels Limited,INE824Q01011,"STASM - I (11)
"
17,MANOMAY,Manomay Tex India Limited,INE784W01015,"STASM - I (11)
"
18,MGEL,Mangalam Global Enterprise Limited,INE0APB01024,"STASM - I (11)
"
19,NARMADA,Narmada Agrobase Limited,INE117Z01011,"STASM - I (11)
"
20,PAYTM,One 97 Communications Limited,INE982J01020,"STASM - I (11)
"
21,RADIOCITY,Music Broadcast Limited,INE919I01024,"STASM - I (11)
"
22,SCAPDVR,Stampede Capital Limited,INE224E01036,"STASM - I (11)
"
23,SOMATEX,Soma Textiles & Industries Limited,INE314C01013,"STASM - I (11)
"
24,SPTL,Sintex Plastics Technology Limited,INE501W01021,"STASM - I (11)
"
25,UNIENTER,Uniphos Enterprises Limited,INE037A01022,"STASM - I (11)
"
26,VCL,Vaxtex Cotfab Limited,INE098201036,"STASM - I (11)
"
